"Sample","Experiment","Condition","Cluster","Count","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","UV7_10-V7_09-B2_03",18559,137.082672119141,434.458251953125,917.453125,1227.54870605469,1850.84143066406,3099.61987304688,5363.85595703125,3416.33251953125,2988.6533203125,995.33642578125,543.362548828125,276.494750976562,242.253021240234,276.369598388672,236.978469848633,188.630187988281,307.885498046875,786.534973144531,1224.02978515625,1376.91687011719,2871.87768554688,3127.55639648438,4558.59619140625,3667.7919921875,2451.90844726562,2744.08227539062,1270.2109375,740.707458496094,682.590454101562,614.601135253906,512.657104492188,347.806457519531,1159.90454101562,1285.32788085938,1620.23059082031,1150.80981445312,1042.07727050781,903.434143066406,606.735534667969,477.653594970703,482.11669921875,310.950775146484,204.68278503418,165.380523681641,179.879318237305,184.209716796875,502.680145263672,335.483489990234,340.284393310547,495.472534179688,394.330383300781,418.331512451172,493.029479980469,238.268463134766,252.314483642578,131.322540283203,193.228408813477,229.884033203125,267.859130859375,302.894989013672,254.787460327148,178.263275146484,203.607360839844,147.926147460938
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","UV7_10-V7_08-B2_03",16559,123.229972839355,401.673950195312,856.495727539062,1134.54638671875,1704.33386230469,2849.36303710938,5053.4208984375,3127.2783203125,2686.04638671875,900.133911132812,493.146606445312,252.339614868164,215.531448364258,242.982223510742,207.833145141602,168.725158691406,286.44775390625,695.054260253906,1049.76623535156,1145.8359375,2398.54516601562,2633.53686523438,3813.56396484375,3042.06079101562,2017.76062011719,2295.939453125,1053.28540039062,624.204284667969,575.141784667969,512.132751464844,425.451110839844,289.976409912109,1039.078125,1185.90344238281,1390.91052246094,965.101135253906,875.695251464844,754.131652832031,496.373077392578,393.392181396484,399.222106933594,260.256256103516,177.726638793945,136.677536010742,151.499450683594,153.778747558594,441.105712890625,282.884704589844,285.339385986328,402.135894775391,327.127593994141,345.226379394531,397.061676025391,195.809432983398,215.983856201172,100.919464111328,171.290100097656,190.844604492188,216.19255065918,255.19499206543,218.370803833008,141.103439331055,172.248764038086,120.466041564941
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","UV7_10-V7_10-B2_03",14064,138.559860229492,419.751586914062,873.096038818359,1164.97058105469,1758.36450195312,2940.58679199219,5073.40161132812,3296.90942382812,2920.77124023438,982.63818359375,546.039398193359,282.737060546875,243.166282653809,276.503967285156,241.156188964844,192.070152282715,315.642578125,795.022491455078,1245.73291015625,1413.7216796875,2962.17736816406,3251.71264648438,4792.51416015625,3789.32373046875,2531.10961914062,2855.24609375,1327.68286132812,779.658813476562,714.762542724609,640.688415527344,544.846069335938,369.458312988281,1215.47448730469,1245.08111572266,1691.23498535156,1196.74438476562,1091.38116455078,948.525268554688,639.5419921875,513.544067382812,511.779251098633,332.541534423828,219.328247070312,177.595321655273,190.180160522461,198.260208129883,518.482116699219,346.759643554688,360.541870117188,518.173187255859,421.267028808594,435.613403320312,528.2939453125,259.935333251953,271.413055419922,142.77392578125,202.978759765625,238.455307006836,273.846099853516,304.153747558594,269.444519042969,182.875762939453,220.979125976562,157.655609130859
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","UV7_10-V7_08-B2_02",12984,140.82487487793,446.058349609375,985.870635986328,1318.75329589844,2003.66510009766,3351.24816894531,5778.04174804688,3586.44067382812,3049.34509277344,1009.85363769531,540.041931152344,273.373565673828,232.88355255127,259.642333984375,225.728240966797,177.642349243164,303.654357910156,761.711608886719,1181.01348876953,1311.9189453125,2735.2529296875,2980.46813964844,4343.26953125,3469.5205078125,2288.93994140625,2582.46032714844,1175.39599609375,688.561767578125,618.59326171875,561.695129394531,465.261016845703,320.440460205078,1025.75012207031,884.071105957031,1444.21875,1029.16882324219,941.004425048828,820.358062744141,542.007263183594,425.701019287109,437.604644775391,277.798736572266,185.580001831055,140.666046142578,163.867469787598,166.628952026367,470.508026123047,307.328063964844,323.218124389648,448.276306152344,354.550201416016,378.487152099609,444.036102294922,210.478317260742,231.516036987305,112.839614868164,180.513412475586,208.924606323242,244.903549194336,273.248123168945,235.73974609375,159.748321533203,187.672592163086,131.347671508789
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","UV7_10-V7_07-B2_02",11955,126.643913269043,433.202423095703,904.750854492188,1193.63098144531,1737.15051269531,2803.21997070312,4581.5048828125,2920.65502929688,2594.173828125,882.630920410156,485.759887695312,246.300827026367,215.531448364258,231.024566650391,204.675186157227,160.709716796875,273.260711669922,656.984680175781,952.385681152344,1025.34033203125,1938.83752441406,2084.2607421875,2955.61328125,2368.51416015625,1637.85559082031,1856.19458007812,914.749389648438,562.794494628906,511.838714599609,452.435028076172,376.384674072266,269.322814941406,898.514526367188,721.799987792969,1186.01428222656,821.350280761719,753.4658203125,652.227905273438,427.368865966797,358.535583496094,358.504516601562,229.83952331543,153.529769897461,114.2421875,140.49787902832,129.63166809082,401.689575195312,257.390777587891,250.651870727539,357.086547851562,285.472961425781,304.421905517578,350.087280273438,173.335083007812,191.918991088867,80.1596527099609,154.754013061523,171.22444152832,201.307815551758,235.783737182617,191.703994750977,133.827377319336,150.470184326172,105.039726257324
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","UV7_10-V7_07-B2_03",10316,108.85205078125,349.490051269531,678.697601318359,879.383697509766,1255.23419189453,1989.02795410156,3319.98779296875,2106.4931640625,1897.66644287109,682.273254394531,382.956085205078,195.174751281738,164.828109741211,180.338890075684,163.753311157227,119.931133270264,233.276512145996,536.099487304688,738.084716796875,759.539184570312,1486.14697265625,1596.30834960938,2155.01196289062,1764.34265136719,1221.59417724609,1332.6142578125,676.151916503906,438.290512084961,392.034866333008,357.141540527344,279.01741027832,205.365539550781,842.398345947266,827.865051269531,1021.73901367188,652.789581298828,594.810485839844,501.057250976562,315.273941040039,273.277221679688,270.501983642578,181.55207824707,120.453659057617,86.9992752075195,109.139869689941,98.176929473877,327.047485351562,205.947631835938,196.886245727539,257.238876342773,201.538925170898,230.21949005127,246.615684509277,124.248153686523,143.922576904297,61.0070533752441,130.476936340332,133.624702453613,149.178146362305,188.05061340332,151.090385437012,90.7882347106934,107.998764038086,78.0596885681152
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","UV7_10-V7_10-B2_04",10003,107.735954284668,325.067047119141,620.260437011719,803.71337890625,1138.55688476562,1786.21704101562,3019.73046875,2055.9443359375,1959.31237792969,725.584533691406,416.162322998047,219.635208129883,175.618209838867,218.193603515625,187.372207641602,150.156051635742,266.561431884766,626.727905273438,892.66650390625,953.712768554688,1888.01635742188,2010.90502929688,2863.37426757812,2242.78442382812,1569.67456054688,1784.52880859375,901.924499511719,565.391235351562,524.957458496094,466.715118408203,387.520324707031,282.403442382812,1107.61193847656,1066.66735839844,1379.42993164062,905.849548339844,803.505554199219,680.212951660156,443.514099121094,372.493011474609,365.071868896484,234.653686523438,160.251129150391,131.264556884766,146.664367675781,150.177871704102,392.172882080078,258.161193847656,265.706268310547,354.270965576172,301.440582275391,321.360900878906,355.336547851562,172.325759887695,192.718933105469,89.0662841796875,156.796310424805,181.938522338867,194.956985473633,230.616241455078,189.766937255859,126.876152038574,155.515655517578,102.92741394043
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","V7_10-UV7_10-B2_03",9674,125.72477722168,386.306304931641,771.141845703125,1015.32574462891,1523.56811523438,2584.7421875,4521.66455078125,2997.90893554688,2662.8056640625,895.741027832031,505.717544555664,270.625579833984,226.625968933105,259.709487915039,228.590141296387,182.351425170898,296.285140991211,763.061096191406,1189.31182861328,1350.36407470703,2885.16198730469,3143.97583007812,4739.85522460938,3695.07971191406,2453.31591796875,2764.86315917969,1284.16741943359,755.761657714844,699.735015869141,617.108825683594,525.845855712891,357.926727294922,1201.63671875,1173.576171875,1655.29400634766,1167.04565429688,1053.63061523438,911.016510009766,621.295715332031,494.417266845703,487.370574951172,316.421417236328,218.514610290527,171.683784484863,188.988914489746,191.7998046875,498.738525390625,335.343383789062,354.055313110352,497.830596923828,393.427856445312,423.029174804688,492.322845458984,250.514953613281,264.746887207031,132.695365905762,192.075485229492,230.419746398926,265.411407470703,297.495620727539,256.143402099609,181.284133911133,214.560516357422,149.622398376465
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","UV7_10-V7_09-B2_04",9544,103.140274047852,298.231506347656,566.225402832031,722.514434814453,1026.20465087891,1603.01525878906,2821.14721679688,1855.31628417969,1707.34429931641,627.293273925781,363.235656738281,188.050346374512,158.570533752441,169.724792480469,155.463668823242,126.844451904297,236.626152038574,542.953460693359,754.22021484375,795.831420898438,1589.69689941406,1727.56018066406,2394.30554199219,1875.23669433594,1310.51104736328,1438.97430419922,721.827667236328,471.276351928711,420.49348449707,375.670837402344,311.623962402344,221.131103515625,994.141479492188,986.283905029297,1188.17156982422,754.071929931641,666.117095947266,554.353424072266,349.223114013672,298.828887939453,299.471313476562,192.201568603516,140.051704406738,98.6086730957031,121.858261108398,115.651786804199,329.994812011719,213.931991577148,208.957504272461,278.25016784668,220.040512084961,256.039459228516,267.882034301758,127.679862976074,161.154624938965,70.2485160827637,139.37084197998,143.970489501953,156.355903625488,190.667495727539,151.090385437012,97.9018783569336,114.321571350098,86.1889038085938
"OneTagUV7_INF155-Unstained_Exp6","2025-08-06","NA","UV7_10-V7_09-B2_02",9315,135.047439575195,432.277038574219,912.950256347656,1209.572265625,1843.70141601562,3114.29248046875,5355.482421875,3392.21630859375,2906.7314453125,961.4287109375,518.559509277344,272.559356689453,229.128997802734,256.619323730469,222.504486083984,177.007797241211,306.616149902344,762.528381347656,1177.64465332031,1338.7109375,2801.50439453125,3043.0947265625,4539.83349609375,3526.19482421875,2344.7275390625,2659.81958007812,1205.94934082031,708.704162597656,649.20361328125,582.000732421875,478.206207275391,333.624328613281,1069.59423828125,850.134704589844,1495.62561035156,1051.35168457031,965.398803710938,832.738891601562,563.75537109375,441.689270019531,445.77734375,290.089416503906,188.339294433594,152.560333251953,166.635391235352,176.725540161133,484.427978515625,318.814361572266,320.651245117188,461.615142822266,370.656677246094,379.858734130859,467.321411132812,223.464996337891,245.648315429688,120.540832519531,175.374710083008,215.821807861328,258.531372070312,284.477478027344,239.484725952148,165.140396118164,196.071075439453,135.316268920898
