"name","CD45","CD14","CD19","TandNKcells"
"INF013_00_01",1.4e+07,1900000,1100000,9900000
"INF013_00_02",1.2e+07,1900000,1200000,8700000
"INF013_00_03",1.3e+07,2e+06,1100000,8800000
"INF023_00_01",1.5e+07,4800000,2900000,6400000
"INF023_00_02",1.1e+07,3600000,2600000,4600000
"INF023_00_03",1.2e+07,3400000,2300000,5300000
"INF030_00_01",9e+06,840000,1200000,5900000
"INF030_00_02",7200000,730000,1e+06,4700000
"INF030_00_03",8200000,640000,1200000,5600000
"INF030_00_04",1.3e+07,1200000,1900000,9700000
"ND006_07",1.1e+07,1500000,1300000,8e+06
