"name","Cells","Volume","ConcentrationScientific","TotalVolume","TotalScientific","TimeSeconds","Instrument","Date"
"INF013_00_01","4156","30.64","1.4e+07",1,"1.4e+07","27.3","4L_UV","21-Aug-2025"
"INF013_00_02","3766","30.45","1.2e+07",1,"1.2e+07","27.1","4L_UV","21-Aug-2025"
"INF013_00_03","3865","30.57","1.3e+07",1,"1.3e+07","27.2","4L_UV","21-Aug-2025"
"INF023_00_01","4586","30.49","1.5e+07",1,"1.5e+07","27.2","4L_UV","21-Aug-2025"
"INF023_00_02","3473","30.31","1.1e+07",1,"1.1e+07","27.1","4L_UV","21-Aug-2025"
"INF023_00_03","3535","30.35","1.2e+07",1,"1.2e+07","27.1","4L_UV","21-Aug-2025"
"INF030_00_01","2746","30.63","9e+06",1,"9e+06","27.1","4L_UV","21-Aug-2025"
"INF030_00_02","2168","30","7.2e+06",1,"7.2e+06","26.7","4L_UV","21-Aug-2025"
"INF030_00_03","2508","30.56","8.2e+06",1,"8.2e+06","27.2","4L_UV","21-Aug-2025"
"INF030_00_04","4110","30.52","1.3e+07",1,"1.3e+07","27.2","4L_UV","21-Aug-2025"
"ND006_07","3384","30.53","1.1e+07",1,"1.1e+07","27.2","4L_UV","21-Aug-2025"
