"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF013_00_01","21-Aug-2025",1.4e+07,1,"1.4e+07","6e+06","2.3","1.3",FALSE,1,"2.3"
"INF013_00_02","21-Aug-2025",1.2e+07,1,"1.2e+07","6e+06","2","1",FALSE,1,"2"
"INF013_00_03","21-Aug-2025",1.3e+07,1,"1.3e+07","6e+06","2.2","1.2",FALSE,1,"2.2"
"INF023_00_01","21-Aug-2025",1.5e+07,1,"1.5e+07","6e+06","2.5","1.5",FALSE,1,"2.5"
"INF023_00_02","21-Aug-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
"INF023_00_03","21-Aug-2025",1.2e+07,1,"1.2e+07","6e+06","2","1",FALSE,1,"2"
"INF030_00_01","21-Aug-2025",9e+06,1,"9e+06","6e+06","1.5","0.5",FALSE,1,"1.5"
"INF030_00_02","21-Aug-2025",7200000,1,"7.2e+06","6e+06","1.2","0.2",FALSE,1,"1.2"
"INF030_00_03","21-Aug-2025",8200000,1,"8.2e+06","6e+06","1.4","0.37",FALSE,1,"1.4"
"INF030_00_04","21-Aug-2025",1.3e+07,1,"1.3e+07","6e+06","2.2","1.2",FALSE,1,"2.2"
"ND006_07","21-Aug-2025",1.1e+07,1,"1.1e+07","6e+06","1.8","0.83",FALSE,1,"1.8"
